ticker,date,open,high,low,close
BGIN,2025-10-21,6.0,6.5,4.723,4.96
BGIN,2025-10-22,4.16,4.16,3.81,4.16
BGIN,2025-10-23,4.18,4.89,4.17,4.76
BGIN,2025-10-24,4.82,5.4499,4.57,4.7
BGIN,2025-10-27,4.97,5.1889,4.1812,4.295
BGIN,2025-10-28,4.45,4.6,4.3397,4.44
BGIN,2025-10-29,4.43,4.45,4.052,4.11
BGIN,2025-10-30,4.04,4.07,3.9,3.97
BGIN,2025-10-31,3.91,4.11,3.91,4.01
BGIN,2025-11-03,3.98,4.02,3.92,3.94
BGIN,2025-11-04,3.9,4.41,3.88,4.1
BGIN,2025-11-05,4.0,4.14,3.92,3.92
BGIN,2025-11-06,3.93,4.03,3.9,3.91
BGIN,2025-11-07,3.9,3.926,3.75,3.81
BGIN,2025-11-10,3.812,3.9,3.41,3.44
BGIN,2025-11-11,3.45,3.565,3.45,3.53
BGIN,2025-11-12,3.42,3.6,3.1619,3.52
BGIN,2025-11-13,3.44,3.59,3.3,3.34
BGIN,2025-11-14,3.14,3.27,3.1,3.16
BGIN,2025-11-17,3.14,3.21,3.14,3.18
BGIN,2025-11-18,3.14,3.26,3.14,3.16
BGIN,2025-11-19,3.14,3.175,3.14,3.17
BGIN,2025-11-20,3.14,3.35,2.47,2.68
BGIN,2025-11-21,2.62,3.07,2.62,3.01
BGIN,2025-11-24,3.0,3.23,3.0,3.06
BGIN,2025-11-25,3.12,3.18,3.06,3.18
BGIN,2025-11-26,3.19,3.2,2.86,2.89
BGIN,2025-11-28,2.94,3.02,2.9,2.9
