ticker,date,open,high,low,close
BYAH,2025-10-29,0.3726,0.41,0.3706,0.375
BYAH,2025-10-30,0.3785,0.384,0.3633,0.3725
BYAH,2025-10-31,0.3725,0.376,0.365,0.3759
BYAH,2025-11-03,0.3647,0.395,0.331,0.3372
BYAH,2025-11-04,0.332,0.3396,0.32,0.3201
BYAH,2025-11-05,0.3188,0.324,0.3,0.3162
BYAH,2025-11-06,0.3118,0.3195,0.28,0.2962
BYAH,2025-11-07,0.2962,0.2991,0.25,0.2821
BYAH,2025-11-10,0.3,0.3041,0.3,0.3
BYAH,2025-11-11,0.2654,0.3,0.2654,0.2995
BYAH,2025-11-12,0.29,0.2922,0.2751,0.282
BYAH,2025-11-13,0.2805,0.2885,0.2634,0.2692
BYAH,2025-11-14,0.2611,0.2736,0.2602,0.2728
BYAH,2025-11-17,0.2655,0.2782,0.2635,0.2702
BYAH,2025-11-18,0.2702,0.275,0.2615,0.2631
BYAH,2025-11-19,0.264,0.2656,0.26,0.262
BYAH,2025-11-20,0.2616,0.2682,0.255,0.261479
BYAH,2025-11-21,0.2613,0.2613,0.2511,0.2578
BYAH,2025-11-24,0.2514,0.2531,0.2514,0.2531
BYAH,2025-11-25,0.2542,0.2801,0.2531,0.2784
BYAH,2025-11-26,0.27,0.2784,0.2613,0.2754
BYAH,2025-11-28,0.27,0.27,0.2601,0.2683
