ticker,date,open,high,low,close
ELWT,2025-11-07,8.2,8.2,6.45,7.12
ELWT,2025-11-10,7.4,8.0,7.11,7.2
ELWT,2025-11-11,7.08,7.325,6.9,7.15
ELWT,2025-11-12,7.03,7.32,6.95,7.06
ELWT,2025-11-13,6.9,7.69,6.76,6.91
ELWT,2025-11-14,6.75,7.07,6.385,6.99
ELWT,2025-11-17,6.8,7.0699,6.8,6.97
ELWT,2025-11-18,6.96,7.63,6.83,7.44
ELWT,2025-11-19,7.19,7.701,7.0,7.49
ELWT,2025-11-20,7.25,8.15,6.94,7.75
ELWT,2025-11-21,7.77,7.865,7.63,7.63
ELWT,2025-11-24,7.63,7.63,6.8,7.1
ELWT,2025-11-25,7.15,7.15,6.91,7.025
ELWT,2025-11-26,7.0,7.0,6.55,6.85
ELWT,2025-11-28,6.84,6.84,6.62,6.65
