ticker,date,open,high,low,close
NBP,2025-10-31,4.7,5.02,4.69,4.95
NBP,2025-11-03,5.1,5.14,4.65,4.7251
NBP,2025-11-04,4.5,4.85,4.25,4.27
NBP,2025-11-05,4.3,4.49,3.922,4.26
NBP,2025-11-06,4.35,4.35,4.05,4.19
NBP,2025-11-07,4.03,4.09,3.83,4.0
NBP,2025-11-10,4.13,4.34,4.06,4.27
NBP,2025-11-11,4.17,4.28,4.05,4.23
NBP,2025-11-12,4.28,4.37,4.1,4.31
NBP,2025-11-13,4.18,4.33,4.03,4.14
NBP,2025-11-14,4.1,4.41,4.06,4.13
NBP,2025-11-17,4.06,4.42,3.98,4.35
NBP,2025-11-18,4.21,4.65,4.14,4.55
NBP,2025-11-19,4.56,4.65,4.32,4.49
NBP,2025-11-20,4.58,4.71,4.14,4.16
NBP,2025-11-21,4.1301,4.25,4.09,4.23
NBP,2025-11-24,4.01,4.01,4.0,4.01
NBP,2025-11-25,4.07,4.08,3.81,3.9
NBP,2025-11-26,4.04,4.04,3.815,3.86
NBP,2025-11-28,3.88,4.04,3.83,3.84
