ticker,date,open,high,low,close
OWLS,2025-10-16,68.0,90.0,18.4031,55.55
OWLS,2025-10-17,35.0,43.2,27.12,39.5
OWLS,2025-10-20,35.42,36.54,27.5,28.8
OWLS,2025-10-21,28.45,29.0,19.0001,19.5
OWLS,2025-10-22,9.52,9.52,8.15,9.52
OWLS,2025-10-23,9.48,10.92,7.48,10.68
OWLS,2025-10-24,10.3,13.6,10.0,12.6
OWLS,2025-10-27,13.5,13.88,11.3,11.75
OWLS,2025-10-28,11.1,11.7,10.925,11.09
OWLS,2025-10-29,10.5,10.82,9.6,9.7
OWLS,2025-10-30,9.9,9.9,8.2,9.255
OWLS,2025-10-31,9.0,10.05,9.0,9.95
OWLS,2025-11-03,9.79,9.9499,9.2,9.2
OWLS,2025-11-04,9.35,9.35,8.5,8.82
OWLS,2025-11-05,9.05,9.75,8.92,9.61
OWLS,2025-11-06,9.51,9.73,9.11,9.45
OWLS,2025-11-07,9.22,9.4,8.9,9.0
OWLS,2025-11-10,9.12,9.4773,9.0228,9.1
OWLS,2025-11-11,9.03,9.23,8.79,9.03
OWLS,2025-11-12,8.9,9.153,8.77,8.81
OWLS,2025-11-13,8.79,8.9902,8.2,8.33
OWLS,2025-11-14,8.31,8.6895,8.1,8.1
OWLS,2025-11-17,8.01,8.4,7.6,7.98
OWLS,2025-11-18,7.8,8.1,7.5,7.98
OWLS,2025-11-19,8.04,8.075,7.71,7.8
OWLS,2025-11-20,8.23,8.85,7.85,7.85
OWLS,2025-11-21,7.91,8.095,7.55,7.64
OWLS,2025-11-24,7.7,7.9365,6.88,7.1
OWLS,2025-11-25,7.04,7.2,6.8,7.09
OWLS,2025-11-26,7.3,7.495,6.9,7.03
OWLS,2025-11-28,7.24,8.75,7.2,8.25
